FUNCTION                                                         CALLS        %      TIME  [uS / CALLS]
--------                                                         -----  -------      ----  [----------]
gen_statem:loop/3                                                    4     0.00         0  [      0.00]
gen_statem:loop_msg/4                                                4     0.00         0  [      0.00]
gen_statem:loop_msg_event/5                                          4     0.00         0  [      0.00]
gen_statem:loop_event/5                                              4     0.00         0  [      0.00]
gen_statem:loop_state_callback_result/11                             4     0.00         0  [      0.00]
gen_statem:loop_actions/10                                           4     0.00         0  [      0.00]
gen_statem:loop_state_transition/9                                   4     0.00         0  [      0.00]
gen_statem:loop_keep_state/9                                         4     0.00         0  [      0.00]
gen_statem:loop_next_events/10                                       4     0.00         0  [      0.00]
gen_statem:loop_done/5                                               4     0.00         0  [      0.00]
gen_statem:loop_done/4                                               4     0.00         0  [      0.00]
group:type/1                                                         2     0.00         0  [      0.00]
lists:keyfind/3                                                      1     0.00         0  [      0.00]
supervisor:handle_info/2                                             1     0.00         0  [      0.00]
inet_gethost_native:get_rid/0                                        1     0.00         0  [      0.00]
prim_tty:encode/3                                                    1     0.00         0  [      0.00]
queue:out/1                                                          1     0.00         0  [      0.00]
queue:peek/1                                                         1     0.00         0  [      0.00]
ets:delete/2                                                         1     0.00         0  [      0.00]
io_lib_format:modifiers/3                                            5     0.00         0  [      0.00]
io_lib_format:precision/2                                            5     0.00         0  [      0.00]
io_lib_format:field_value/2                                          5     0.00         0  [      0.00]
io_lib_format:pad_char/2                                             5     0.00         0  [      0.00]
io_lib_format:count_small/1                                          1     0.00         0  [      0.00]
io_lib_format:control_small/7                                        5     0.00         0  [      0.00]
io_lib_format:term/6                                                 4     0.00         0  [      0.00]
io_lib_format:newline/4                                              1     0.00         0  [      0.00]
io_lib_format:sub/2                                                  1     0.00         0  [      0.00]
io_lib_format:get_option/3                                           1     0.00         0  [      0.00]
gen_server:handle_action/2                                           1     0.00         0  [      0.00]
erlang:iolist_to_iovec/1                                             1     0.00         0  [      0.00]
erlang:put/2                                                         2     0.00         0  [      0.00]
erlang:start_timer/3                                                 1     0.00         0  [      0.00]
erlang:port_command/2                                                1     0.00         0  [      0.00]
io_lib:write1/4                                                      4     0.00         1  [      0.25]
group:io_reply/3                                                     1     0.00         1  [      1.00]
